ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
24.14,12.64,52.87,10.34,0.0
26.72,14.22,53.45,5.6,0.0
26.1,14.96,51.32,7.33,0.29
25.71,13.02,53.02,7.62,0.63
24.03,13.07,54.06,8.83,0.0
29.55,12.66,51.62,5.84,0.32
25.28,13.58,54.34,6.04,0.75
25.53,13.83,53.19,7.09,0.35
27.19,12.57,52.34,7.89,0.0
25.74,15.81,50.74,7.72,0.0
25.93,13.17,53.09,7.41,0.41
25.1,14.07,53.61,7.22,0.0
29.55,11.36,50.97,8.12,0.0
26.98,12.7,53.97,6.03,0.32
25.16,11.95,53.77,9.12,0.0
26.99,14.11,52.76,5.52,0.61
27.88,13.75,50.93,7.43,0.0
26.91,14.18,52.36,6.18,0.36
25.86,13.08,53.58,7.48,0.0
24.75,11.53,53.56,10.17,0.0
25.69,12.5,54.17,7.64,0.0
25.09,14.29,52.96,7.67,0.0
27.84,11.68,51.89,8.59,0.0
30.29,12.45,51.04,5.81,0.41
24.23,11.26,54.95,9.22,0.34
26.58,13.68,52.89,6.58,0.26
27.27,11.89,53.5,7.34,0.0
25.84,13.76,53.36,7.05,0.0
26.48,13.11,52.96,7.2,0.26
25.84,14.29,53.19,6.69,0.0
25.38,14.39,53.03,7.2,0.0
26.89,13.64,52.65,6.82,0.0
26.19,11.22,54.76,7.82,0.0
25.29,13.41,52.87,8.43,0.0
29.27,12.89,50.87,6.97,0.0
30.73,13.17,50.24,5.85,0.0
26.25,12.29,53.16,7.97,0.33
26.15,13.08,53.85,6.15,0.77
26.27,14.29,53.46,5.99,0.0
25.0,11.9,54.76,7.94,0.4
26.88,14.34,51.25,7.53,0.0
27.51,12.17,52.65,7.41,0.26
27.54,12.03,51.34,8.56,0.53
26.68,14.25,51.55,7.51,0.0
25.39,14.11,52.98,7.52,0.0
26.38,12.6,54.72,6.3,0.0
25.99,13.49,52.96,7.57,0.0
26.56,14.11,51.87,7.47,0.0
26.76,13.73,52.11,7.04,0.35
25.71,10.0,54.29,9.52,0.48
25.48,13.38,53.5,7.64,0.0
27.92,13.96,51.57,6.55,0.0
26.43,12.42,53.82,7.01,0.32
26.07,12.06,54.47,7.39,0.0
26.75,11.4,53.51,7.89,0.44
28.57,12.44,51.15,7.83,0.0
25.89,11.93,53.3,8.88,0.0
26.32,13.33,52.63,7.37,0.35
25.26,13.84,52.94,7.27,0.69
26.95,10.39,53.57,8.77,0.32
27.24,11.96,53.16,7.64,0.0
26.9,13.2,51.78,8.12,0.0
27.0,13.5,52.07,7.44,0.0
25.6,12.0,54.0,8.4,0.0
26.62,13.96,53.25,5.84,0.32
27.33,14.33,49.33,8.67,0.33
28.71,13.2,50.83,6.93,0.33
25.7,13.25,54.62,6.02,0.4
26.21,11.38,53.79,8.62,0.0
26.87,13.81,51.87,7.46,0.0
26.78,14.75,51.91,6.56,0.0
25.55,13.87,52.19,7.3,1.09
26.71,11.99,54.11,6.85,0.34
30.73,13.17,50.73,5.37,0.0
25.69,10.09,56.88,7.34,0.0
26.67,12.38,54.29,6.67,0.0
27.88,10.1,51.92,9.62,0.48
25.6,14.4,52.4,7.6,0.0
27.88,12.18,53.85,6.09,0.0
25.45,12.0,55.64,6.91,0.0
28.14,13.22,51.19,7.46,0.0
25.21,13.87,52.1,8.82,0.0
26.28,14.23,53.28,6.2,0.0
24.68,13.64,53.9,7.79,0.0
26.01,12.72,51.45,9.83,0.0
25.71,13.14,51.43,9.71,0.0
26.76,12.65,53.82,6.47,0.29
28.01,13.68,50.81,7.49,0.0
24.41,14.05,53.51,8.03,0.0
29.05,11.9,50.95,7.62,0.48
26.87,12.24,52.24,8.36,0.3
26.92,13.85,52.69,6.15,0.38
26.28,13.87,51.82,7.66,0.36
24.92,13.98,52.28,8.51,0.3
25.57,13.59,53.07,7.77,0.0
29.79,13.19,50.64,6.38,0.0
25.48,12.58,52.9,9.03,0.0
24.65,12.5,54.17,8.33,0.35
26.81,13.77,51.09,6.88,1.45
24.84,13.38,54.14,7.64,0.0
26.84,13.97,49.63,9.56,0.0
29.53,14.48,48.75,7.24,0.0
28.04,12.5,51.69,7.77,0.0
27.55,13.61,51.7,7.14,0.0
24.76,13.36,54.4,7.49,0.0
28.84,13.48,50.4,6.74,0.54
26.03,11.57,53.72,8.26,0.41
25.84,12.08,54.03,8.05,0.0
26.79,11.84,53.27,8.1,0.0
26.56,13.44,52.46,7.21,0.33
28.46,15.36,49.44,6.74,0.0
26.67,13.61,52.78,6.94,0.0
28.99,12.32,52.17,6.52,0.0
24.59,13.77,53.77,7.87,0.0
24.83,10.88,56.12,7.82,0.34
25.66,13.58,52.45,7.92,0.38
25.35,14.08,52.46,8.1,0.0
25.96,11.22,54.81,8.01,0.0
25.47,11.32,53.14,10.06,0.0
25.0,13.33,53.33,8.33,0.0
29.26,11.7,53.19,5.85,0.0
29.79,12.77,51.91,5.53,0.0
30.69,12.38,51.49,5.45,0.0
26.44,13.79,52.11,7.28,0.38
26.43,15.71,51.43,6.43,0.0
26.39,12.85,52.78,7.99,0.0
26.21,15.53,50.97,7.28,0.0
26.58,13.29,52.16,7.97,0.0
26.27,12.55,53.73,6.27,1.18
26.22,14.23,52.06,7.12,0.37
24.34,11.84,54.28,9.54,0.0
26.38,13.78,51.57,8.27,0.0
26.42,14.72,52.51,6.35,0.0
28.96,11.31,51.58,8.14,0.0
26.32,13.85,52.08,7.76,0.0
26.37,13.19,53.11,7.33,0.0
27.12,12.88,51.19,8.47,0.34
26.63,13.58,52.74,6.79,0.26
24.69,12.81,54.06,8.44,0.0
24.57,14.33,52.56,8.19,0.34
25.55,13.25,54.57,6.62,0.0
26.93,13.31,53.56,6.19,0.0
27.27,13.64,51.24,7.44,0.41
25.8,12.72,53.0,8.48,0.0
25.56,15.73,51.97,6.74,0.0
26.3,12.9,54.34,6.45,0.0
26.16,13.95,52.62,7.27,0.0
26.06,12.38,53.09,8.14,0.33
26.91,13.09,53.09,6.91,0.0
24.7,12.75,53.39,8.76,0.4
25.86,13.71,52.96,7.48,0.0
24.71,12.36,54.89,7.76,0.29
28.38,14.86,47.75,9.01,0.0
24.6,14.56,52.75,7.77,0.32
26.89,13.21,51.89,8.02,0.0
26.38,13.19,51.53,8.59,0.31
28.05,14.63,50.61,6.4,0.3
