ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
26.15,15.0,51.15,7.31,0.38
28.08,13.01,51.71,7.19,0.0
30.38,11.08,52.22,6.33,0.0
25.19,13.36,55.34,5.73,0.38
25.7,12.38,55.11,6.81,0.0
25.59,16.14,50.79,7.09,0.39
27.03,14.86,51.35,6.76,0.0
25.3,14.62,52.57,7.51,0.0
29.18,12.46,53.38,4.98,0.0
25.64,14.65,50.92,8.79,0.0
25.3,14.62,52.57,7.11,0.4
25.13,13.57,52.51,8.54,0.25
28.29,13.15,51.39,6.77,0.4
32.46,14.14,48.17,5.24,0.0
25.35,13.15,52.11,9.39,0.0
27.38,13.69,50.6,8.33,0.0
30.0,9.55,53.64,6.36,0.45
26.29,17.01,50.0,6.7,0.0
28.05,12.21,53.8,5.94,0.0
28.91,13.26,50.4,6.9,0.53
28.09,11.8,52.25,7.58,0.28
28.52,12.32,52.82,6.34,0.0
26.12,12.03,54.64,7.22,0.0
26.42,14.15,52.83,6.13,0.47
25.68,11.64,54.11,8.56,0.0
25.71,13.33,53.02,7.94,0.0
25.6,15.02,52.56,6.48,0.34
26.42,12.04,53.85,7.69,0.0
28.71,11.39,53.96,5.45,0.5
28.97,12.41,50.34,7.93,0.34
25.83,14.39,53.14,6.64,0.0
26.13,12.54,53.31,7.67,0.35
26.28,13.14,54.17,6.41,0.0
27.27,10.33,55.79,6.61,0.0
26.74,13.19,53.85,5.86,0.37
25.56,13.7,52.22,8.15,0.37
26.97,12.17,54.28,6.25,0.33
26.49,12.5,55.06,5.65,0.3
26.53,13.88,51.84,7.35,0.41
26.52,14.65,52.53,6.31,0.0
28.14,12.93,51.71,7.22,0.0
27.8,13.22,51.86,6.78,0.34
27.96,12.54,52.69,6.45,0.36
26.6,11.86,54.49,6.41,0.64
28.33,11.9,52.69,7.08,0.0
26.99,13.84,50.87,8.3,0.0
27.42,12.26,50.97,9.35,0.0
27.8,14.08,52.71,5.42,0.0
27.43,13.27,52.21,6.78,0.29
26.63,15.98,49.7,7.69,0.0
24.65,12.18,52.97,9.92,0.28
27.17,13.17,53.5,6.16,0.0
25.35,11.81,54.17,8.68,0.0
26.79,13.27,53.06,6.63,0.26
25.75,12.04,54.52,7.36,0.33
26.14,16.18,51.04,6.64,0.0
25.52,11.89,53.85,8.74,0.0
26.28,11.95,53.24,8.53,0.0
27.38,11.9,53.17,7.54,0.0
27.04,12.89,52.2,7.55,0.31
25.29,14.79,53.7,6.23,0.0
26.42,14.23,53.25,6.1,0.0
27.42,11.75,52.48,8.36,0.0
24.7,15.06,53.61,6.63,0.0
25.64,13.92,53.11,6.96,0.37
27.04,11.73,52.77,7.82,0.65
24.74,12.37,52.06,10.82,0.0
25.37,13.13,54.03,6.57,0.9
28.62,12.68,51.81,6.88,0.0
27.61,12.79,52.86,6.73,0.0
26.07,14.4,51.36,8.17,0.0
23.97,15.75,52.74,7.53,0.0
24.25,15.28,53.49,6.98,0.0
24.71,12.55,53.73,9.02,0.0
25.68,12.16,54.73,6.42,1.01
25.25,11.45,54.88,7.74,0.67
27.3,13.35,50.74,8.61,0.0
23.97,17.36,50.41,8.26,0.0
25.35,12.68,54.46,7.51,0.0
32.24,13.11,48.63,6.01,0.0
29.21,12.87,51.49,6.44,0.0
28.97,12.77,51.71,6.54,0.0
26.14,12.86,53.94,7.05,0.0
25.85,15.34,51.42,7.39,0.0
25.42,12.2,54.58,7.8,0.0
26.42,14.15,52.52,6.92,0.0
25.57,11.93,55.11,7.39,0.0
28.0,14.67,50.4,6.93,0.0
25.8,13.38,52.87,7.96,0.0
26.88,13.44,52.5,6.88,0.31
26.61,13.18,53.23,6.72,0.26
25.81,12.19,54.12,7.89,0.0
26.98,14.29,51.85,6.88,0.0
25.33,12.17,53.29,9.21,0.0
25.95,13.15,53.63,6.57,0.69
27.65,15.02,51.19,6.14,0.0
25.66,13.21,53.96,7.17,0.0
27.14,14.64,51.43,6.79,0.0
29.2,12.04,52.19,6.57,0.0
24.3,14.49,53.27,6.54,1.4
27.22,13.61,52.22,6.67,0.28
25.0,10.86,55.59,8.22,0.33
28.66,12.42,51.91,7.01,0.0
27.88,14.42,51.92,5.77,0.0
25.15,11.98,54.79,7.49,0.6
25.3,15.81,51.78,6.72,0.4
24.69,12.96,54.01,8.33,0.0
26.88,12.9,54.3,5.91,0.0
27.16,12.93,54.31,5.6,0.0
28.16,15.88,49.1,6.14,0.72
26.09,12.73,53.42,7.76,0.0
27.35,14.69,49.39,7.35,1.22
25.58,15.35,52.56,6.51,0.0
24.29,14.98,51.42,9.31,0.0
25.52,13.02,55.21,6.25,0.0
26.91,11.63,53.49,7.31,0.66
26.24,12.77,54.61,6.38,0.0
30.52,11.74,51.64,6.1,0.0
26.45,15.12,51.16,7.27,0.0
27.84,13.33,50.59,7.84,0.39
27.27,11.04,54.22,7.47,0.0
27.16,13.1,52.08,7.35,0.32
26.37,10.95,54.23,8.46,0.0
25.84,11.24,55.06,7.87,0.0
25.0,13.89,54.17,6.94,0.0
25.99,13.72,52.35,7.94,0.0
27.02,12.5,52.02,8.47,0.0
29.65,9.29,52.65,8.41,0.0
26.91,11.96,53.16,7.97,0.0
27.15,12.71,51.55,8.59,0.0
26.67,11.94,52.78,8.61,0.0
28.37,12.8,51.9,6.92,0.0
26.88,12.54,52.33,8.24,0.0
24.6,13.42,54.31,7.67,0.0
25.62,16.26,52.22,5.91,0.0
28.75,11.25,52.5,7.5,0.0
28.57,12.81,53.2,5.42,0.0
25.71,13.65,54.92,5.71,0.0
24.86,16.18,52.6,6.36,0.0
26.21,14.11,52.42,7.26,0.0
26.05,12.57,51.2,10.18,0.0
24.62,14.62,51.92,8.85,0.0
27.58,11.14,55.15,5.85,0.28
26.28,15.71,50.64,7.05,0.32
25.29,14.53,52.03,7.56,0.58
23.93,13.5,52.15,10.43,0.0
25.93,12.35,54.73,5.76,1.23
27.87,11.48,54.64,6.01,0.0
29.21,13.48,51.31,5.99,0.0
24.35,11.36,54.22,10.06,0.0
25.38,14.02,51.89,7.95,0.76
26.43,13.62,53.13,6.81,0.0
26.19,16.07,51.19,6.55,0.0
26.46,13.45,52.47,7.62,0.0
26.46,13.62,53.31,6.61,0.0
24.9,17.0,50.2,7.51,0.4
27.9,13.04,52.17,6.16,0.72
27.24,12.54,51.97,6.81,1.43
25.81,13.98,54.12,6.09,0.0
25.8,13.43,54.77,6.01,0.0
25.45,14.29,52.23,7.59,0.45
25.16,13.87,52.9,8.06,0.0
29.47,12.23,52.04,6.27,0.0
24.84,13.21,54.09,7.55,0.31
27.02,12.98,52.98,6.67,0.35
27.21,12.93,52.38,7.48,0.0
26.57,13.04,53.62,6.76,0.0
27.37,14.23,51.09,7.3,0.0
25.07,14.65,52.11,8.17,0.0
25.99,14.8,51.97,7.24,0.0
25.52,14.24,52.82,7.42,0.0
25.56,13.1,54.31,7.03,0.0
24.84,12.74,53.18,8.6,0.64
29.03,12.9,50.54,6.81,0.72
26.09,13.04,53.91,6.96,0.0
27.38,12.39,53.03,7.2,0.0
25.44,13.78,53.36,7.42,0.0
26.77,12.63,53.54,7.07,0.0
28.22,12.2,51.22,8.36,0.0
26.37,14.43,50.75,7.96,0.5
26.76,12.35,52.65,7.65,0.59
27.33,13.35,52.17,7.14,0.0
25.7,12.68,53.17,8.1,0.35
26.64,13.5,52.19,7.3,0.36
27.13,13.83,51.6,7.45,0.0
25.47,12.47,54.47,7.32,0.27
28.83,12.77,50.73,7.66,0.0
26.87,15.67,51.12,6.34,0.0
28.85,12.13,51.8,7.21,0.0
27.92,14.13,49.82,8.13,0.0
26.12,12.03,53.26,8.25,0.34
24.68,13.78,53.53,8.01,0.0
28.62,15.41,49.37,6.29,0.31
25.98,14.8,51.4,7.54,0.28
24.51,12.75,51.96,10.78,0.0
25.41,11.73,53.09,9.12,0.65
25.71,13.17,53.29,7.84,0.0
27.35,13.54,52.49,6.63,0.0
28.16,13.42,52.63,5.53,0.26
29.32,15.18,50.26,5.24,0.0
25.87,13.88,53.31,6.94,0.0
27.32,13.11,51.64,7.65,0.27
26.07,14.1,52.99,6.84,0.0
26.42,14.29,52.83,6.47,0.0
25.71,13.79,52.98,7.21,0.31
26.65,13.79,52.98,6.27,0.31
25.0,13.03,54.23,6.34,1.41
26.58,13.68,52.89,6.58,0.26
26.85,11.78,53.15,7.67,0.55
28.24,13.29,51.5,6.98,0.0
24.52,14.19,53.55,7.74,0.0
25.99,12.64,52.71,7.58,1.08
25.3,15.42,51.78,7.51,0.0
28.79,13.64,52.02,5.56,0.0
27.74,12.8,51.83,7.62,0.0
26.19,13.27,52.38,7.82,0.34
27.44,13.0,53.07,6.5,0.0
24.76,10.61,55.31,9.0,0.32
26.84,11.58,54.74,6.84,0.0
29.27,14.23,49.59,6.5,0.41
26.07,12.88,53.37,7.67,0.0
26.88,15.05,51.61,6.45,0.0
27.5,13.44,51.88,7.19,0.0
25.38,14.62,52.31,7.69,0.0
28.23,13.19,51.45,7.12,0.0
26.52,14.38,52.08,7.03,0.0
27.31,11.34,53.78,7.14,0.42
26.43,14.11,51.95,7.21,0.3
27.57,12.62,52.16,6.98,0.66
27.15,13.4,51.2,7.9,0.34
27.11,12.89,54.67,5.33,0.0
27.62,13.99,51.05,7.34,0.0
26.25,13.62,53.16,6.98,0.0
25.66,14.16,52.21,7.96,0.0
27.7,14.68,51.25,6.37,0.0
26.59,13.01,52.89,7.23,0.29
25.84,12.36,53.93,7.87,0.0
23.81,12.99,54.98,8.23,0.0
25.75,11.98,54.49,7.78,0.0
26.69,13.76,51.97,7.02,0.56
26.38,13.33,52.75,7.54,0.0
25.45,12.0,54.91,7.64,0.0
26.44,11.88,55.17,6.51,0.0
27.46,11.92,54.92,5.7,0.0
27.27,11.89,53.5,7.34,0.0
27.96,9.14,52.15,10.75,0.0
27.75,12.83,52.62,6.81,0.0
25.38,15.74,50.76,8.12,0.0
26.83,10.73,53.17,9.27,0.0
25.99,13.79,52.79,7.43,0.0
26.72,14.22,52.16,6.9,0.0
24.82,13.5,53.65,7.66,0.36
27.01,15.33,51.46,6.2,0.0
25.68,14.86,50.9,8.56,0.0
28.28,13.13,51.52,7.07,0.0
28.76,13.72,50.92,6.33,0.26
28.12,13.79,51.46,6.63,0.0
24.32,15.02,52.55,7.51,0.6
27.83,13.59,50.49,8.09,0.0
24.85,12.73,53.94,8.48,0.0
27.91,13.5,50.31,8.28,0.0
24.84,13.87,53.55,7.74,0.0
24.52,13.06,54.14,8.28,0.0
26.84,12.55,52.38,7.36,0.87
26.64,13.82,53.62,5.92,0.0
26.48,14.61,52.97,5.94,0.0
25.89,13.1,53.27,6.85,0.89
25.42,13.22,51.53,9.15,0.68
25.19,15.89,51.16,7.36,0.39
26.03,8.26,54.13,10.74,0.83
29.91,11.21,51.09,7.79,0.0
25.37,12.31,54.48,6.72,1.12
24.48,11.54,55.24,8.39,0.35
26.79,11.96,52.63,8.61,0.0
27.07,11.6,55.25,6.08,0.0
24.35,13.96,53.9,7.79,0.0
25.17,11.74,55.37,7.72,0.0
25.84,14.98,53.56,5.62,0.0
29.12,12.41,51.31,6.92,0.24
25.3,14.62,53.75,6.32,0.0
24.52,14.56,51.72,8.05,1.15
25.84,13.42,53.36,7.38,0.0
26.24,12.55,54.37,6.84,0.0
27.51,10.36,54.14,7.1,0.89
27.34,12.5,52.6,7.55,0.0
31.5,11.81,50.0,6.69,0.0
27.09,12.71,52.84,7.36,0.0
26.62,13.31,50.95,8.75,0.38
25.88,14.12,53.73,5.88,0.39
25.71,12.86,54.64,6.79,0.0
25.94,15.0,51.56,7.19,0.31
25.16,12.26,55.03,6.6,0.94
26.46,13.65,53.2,6.69,0.0
25.7,13.31,53.56,7.43,0.0
25.1,12.97,54.81,7.11,0.0
27.41,11.11,52.59,8.89,0.0
25.75,14.37,53.29,5.99,0.6
24.25,13.95,53.82,7.97,0.0
25.48,14.07,52.47,7.98,0.0
23.98,15.38,51.58,8.14,0.9
25.34,14.71,52.59,7.36,0.0
27.36,12.16,53.04,7.43,0.0
26.79,13.57,52.5,6.79,0.36
27.71,13.43,51.14,7.43,0.29
26.64,12.36,53.67,6.56,0.77
26.37,12.09,53.48,7.69,0.37
28.32,12.14,52.02,7.51,0.0
26.21,11.97,52.75,9.06,0.0
27.91,13.95,52.03,6.1,0.0
29.15,14.07,50.25,6.53,0.0
30.62,12.44,50.24,6.22,0.48
25.0,13.12,54.37,7.5,0.0
26.65,15.19,50.72,7.45,0.0
29.43,12.66,51.58,6.33,0.0
28.41,14.77,50.57,6.25,0.0
30.16,11.48,50.49,7.87,0.0
25.93,12.22,54.07,7.78,0.0
25.16,13.87,53.55,7.1,0.32
25.75,14.55,51.87,7.46,0.37
28.37,10.38,55.36,5.88,0.0
27.98,13.99,50.26,7.77,0.0
26.62,12.23,54.32,6.83,0.0
29.17,12.88,50.76,7.2,0.0
27.69,11.92,53.85,6.54,0.0
25.95,12.6,53.44,7.63,0.38
26.12,12.24,54.69,6.94,0.0
27.41,11.97,52.51,7.72,0.39
26.2,12.95,52.71,7.83,0.3
24.92,11.3,55.48,8.31,0.0
24.7,14.74,53.39,6.37,0.8
25.97,14.34,52.33,7.36,0.0
29.03,11.83,52.69,6.45,0.0
26.16,13.98,51.61,8.24,0.0
25.84,12.36,53.93,7.87,0.0
27.85,12.75,52.68,6.71,0.0
24.56,11.58,54.04,9.82,0.0
25.52,11.28,54.3,8.61,0.3
27.55,12.93,53.74,5.78,0.0
25.73,14.04,52.92,7.31,0.0
27.74,11.94,54.19,6.13,0.0
27.4,11.64,53.77,7.19,0.0
26.85,14.09,52.01,7.05,0.0
28.85,15.38,50.0,5.77,0.0
29.2,12.04,52.19,6.57,0.0
28.57,12.29,50.83,8.31,0.0
25.11,12.79,54.34,7.76,0.0
26.44,13.41,53.64,6.51,0.0
27.11,12.94,52.74,6.97,0.25
26.18,14.2,51.74,7.89,0.0
25.79,12.7,53.57,7.94,0.0
25.72,15.58,51.45,7.25,0.0
24.3,15.49,52.11,7.04,1.06
26.52,14.38,52.08,7.03,0.0
27.88,14.5,49.44,8.18,0.0
28.12,12.85,50.69,7.99,0.35
26.33,11.83,53.55,7.99,0.3
24.89,15.45,52.79,6.87,0.0
25.52,12.41,52.76,8.62,0.69
28.12,13.89,51.39,6.6,0.0
25.82,12.73,52.73,8.36,0.36
24.72,14.61,53.18,7.49,0.0
28.57,11.56,52.04,7.48,0.34
27.21,12.87,52.21,7.35,0.37
25.86,13.79,53.45,6.9,0.0
27.88,13.46,51.92,6.73,0.0
26.52,14.34,50.18,8.96,0.0
27.19,13.16,52.63,7.02,0.0
24.53,14.34,53.96,7.17,0.0
27.78,13.19,52.78,6.25,0.0
27.22,15.09,50.89,6.21,0.59
25.72,14.79,52.41,6.75,0.32
25.38,14.23,52.31,7.69,0.38
28.3,15.43,49.52,6.43,0.32
28.19,12.75,52.35,6.71,0.0
25.18,15.25,52.84,6.03,0.71
24.56,12.28,54.04,9.12,0.0
24.92,12.31,53.15,9.31,0.3
26.16,11.83,54.12,7.89,0.0
28.87,13.4,51.03,6.7,0.0
25.65,13.38,53.9,6.32,0.74
26.43,13.9,52.32,7.36,0.0
27.78,10.42,53.12,8.33,0.35
28.85,12.79,50.82,7.54,0.0
27.85,12.42,52.68,6.38,0.67
25.38,12.84,54.74,7.03,0.0
26.56,13.28,52.73,6.64,0.78
26.75,12.1,53.5,7.32,0.32
26.15,13.3,53.21,6.88,0.46
26.42,13.58,52.45,7.55,0.0
27.85,13.61,51.58,6.96,0.0
25.06,13.28,52.13,9.52,0.0
25.18,13.12,53.55,8.16,0.0
27.64,13.68,52.71,5.98,0.0
26.85,12.06,53.7,7.39,0.0
26.4,11.68,54.31,7.11,0.51
30.34,11.8,51.69,6.18,0.0
25.0,17.22,51.11,6.67,0.0
24.79,12.81,55.79,6.2,0.41
27.76,12.17,53.61,6.08,0.38
25.94,12.57,54.01,7.49,0.0
25.58,13.57,53.49,6.98,0.39
25.43,12.71,54.3,7.56,0.0
27.82,11.28,54.89,6.02,0.0
27.13,13.95,51.55,7.36,0.0
28.66,13.41,50.91,6.71,0.3
29.09,12.0,53.09,5.82,0.0
25.1,13.51,53.28,6.95,1.16
25.1,12.94,53.33,8.63,0.0
27.18,13.59,51.13,7.44,0.65
32.06,12.92,49.28,5.74,0.0
25.53,14.54,51.42,8.51,0.0
25.3,10.67,56.13,7.11,0.79
25.86,13.08,53.58,7.48,0.0
26.48,13.24,52.61,7.67,0.0
29.17,11.22,53.21,6.41,0.0
24.37,10.64,55.18,9.8,0.0
25.5,12.35,54.58,6.77,0.8
26.74,12.02,52.33,8.91,0.0
28.0,15.14,49.71,7.14,0.0
26.93,13.75,51.0,8.31,0.0
26.48,13.24,52.97,7.31,0.0
27.22,12.13,52.96,7.69,0.0
27.21,12.72,53.71,6.36,0.0
28.28,11.11,53.2,7.41,0.0
26.61,13.3,53.22,6.01,0.86
26.56,13.11,52.13,7.87,0.33
24.81,14.73,51.16,8.53,0.78
26.64,12.11,52.94,8.3,0.0
24.63,12.13,54.04,9.19,0.0
24.55,14.08,52.35,9.03,0.0
25.66,13.99,53.35,6.71,0.29
28.4,9.47,53.91,7.82,0.41
25.59,13.13,52.86,8.42,0.0
27.76,13.56,52.05,6.31,0.32
24.92,13.25,54.26,7.57,0.0
24.68,13.14,54.49,7.69,0.0
27.73,14.06,51.17,7.03,0.0
30.48,11.43,50.16,7.94,0.0
24.26,12.79,53.77,8.52,0.66
26.18,11.64,54.55,7.64,0.0
25.91,12.77,54.74,6.57,0.0
25.8,12.78,52.83,8.11,0.49
23.6,15.53,52.8,6.83,1.24
28.8,13.29,51.27,6.65,0.0
24.68,13.46,53.85,7.69,0.32
26.47,14.05,52.94,6.54,0.0
27.96,12.83,52.63,6.58,0.0
26.37,13.36,54.11,6.16,0.0
25.29,13.23,54.09,7.39,0.0
30.61,11.22,51.53,6.63,0.0
24.07,13.69,54.36,7.05,0.83
26.71,10.83,53.07,8.66,0.72
25.79,10.86,52.49,10.86,0.0
27.97,15.03,49.3,7.34,0.35
24.66,10.96,54.45,9.93,0.0
26.3,13.15,52.94,7.27,0.35
26.03,12.06,54.29,7.62,0.0
27.43,12.15,53.47,6.94,0.0
25.84,13.7,52.97,7.24,0.26
26.56,11.25,52.81,8.75,0.62
25.99,13.28,53.11,7.63,0.0
26.33,11.74,54.8,6.41,0.71
25.8,12.37,53.36,7.77,0.71
27.0,12.46,52.82,7.72,0.0
26.7,13.09,53.4,6.81,0.0
26.47,13.73,52.94,6.86,0.0
25.56,15.56,51.85,7.04,0.0
27.23,14.14,50.26,8.38,0.0
27.45,10.78,53.59,8.17,0.0
29.81,10.56,51.24,8.07,0.31
26.36,13.04,52.72,7.88,0.0
26.69,14.04,51.69,7.3,0.28
27.73,13.57,52.8,5.9,0.0
25.07,14.63,52.54,7.76,0.0
26.79,14.29,51.43,7.5,0.0
25.07,13.84,53.0,8.09,0.0
26.74,12.5,53.12,7.29,0.35
27.21,11.8,52.46,8.52,0.0
25.5,12.75,55.37,6.38,0.0
27.3,14.92,51.11,6.67,0.0
26.97,11.99,55.43,5.62,0.0
27.15,14.13,51.52,6.93,0.28
26.43,13.9,52.04,7.63,0.0
26.8,15.19,51.66,6.35,0.0
25.99,14.8,51.62,7.22,0.36
29.13,12.2,51.97,6.69,0.0
26.67,14.22,50.67,8.44,0.0
25.0,13.31,53.9,7.79,0.0
27.78,13.76,51.59,6.88,0.0
26.02,11.6,54.55,7.84,0.0
27.83,14.07,51.07,7.03,0.0
26.65,13.79,51.72,7.84,0.0
28.53,12.6,51.67,7.2,0.0
26.61,14.59,51.93,6.87,0.0
26.23,14.03,51.95,7.79,0.0
25.27,14.65,52.38,6.96,0.73
27.05,14.95,51.96,6.05,0.0
26.06,17.61,48.59,7.75,0.0
25.44,14.91,52.34,7.31,0.0
27.46,14.92,50.51,6.78,0.34
26.35,13.33,53.97,6.35,0.0
28.84,13.02,50.7,7.44,0.0
26.46,13.9,52.02,7.62,0.0
26.92,13.64,51.75,6.99,0.7
29.07,14.1,50.66,6.17,0.0
27.38,12.31,52.62,7.69,0.0
25.0,15.41,52.74,6.85,0.0
25.98,15.2,51.96,6.37,0.49
25.26,11.86,55.67,7.22,0.0
24.44,15.73,50.28,9.27,0.28
29.24,13.45,51.46,5.85,0.0
24.44,13.18,53.7,8.04,0.64
26.74,15.38,50.18,7.33,0.37
24.64,14.49,54.2,6.67,0.0
26.1,13.49,52.2,8.21,0.0
30.49,10.76,52.24,6.5,0.0
25.15,14.62,53.22,7.02,0.0
29.17,14.77,50.38,5.68,0.0
25.0,13.03,53.17,8.1,0.7
27.2,14.29,51.92,6.32,0.27
25.74,16.83,49.5,7.92,0.0
25.21,12.81,52.07,9.09,0.83
27.86,15.92,48.26,7.96,0.0
26.21,12.07,53.45,7.59,0.69
26.05,15.41,50.98,7.56,0.0
25.12,14.78,53.69,6.4,0.0
26.61,11.47,52.75,9.17,0.0
25.42,11.37,53.18,9.36,0.67
25.86,17.59,49.31,7.24,0.0
26.5,14.25,50.71,7.41,1.14
28.72,12.16,52.36,6.76,0.0
28.44,11.56,52.89,7.11,0.0
27.64,12.73,53.09,6.55,0.0
24.33,15.59,52.47,7.6,0.0
26.39,13.72,52.51,7.39,0.0
26.72,14.66,50.43,8.19,0.0
25.38,12.18,54.82,7.61,0.0
27.76,11.05,53.98,7.2,0.0
25.17,12.59,55.24,6.29,0.7
26.13,12.2,53.66,8.01,0.0
25.44,14.91,51.32,8.33,0.0
25.16,15.09,51.89,7.55,0.31
27.38,15.56,48.41,7.78,0.86
25.18,12.23,54.32,8.27,0.0
26.41,12.12,54.55,6.93,0.0
25.54,14.03,52.52,7.91,0.0
25.59,15.35,52.36,6.3,0.39
25.35,12.68,54.58,7.39,0.0
29.92,12.79,51.41,5.63,0.26
25.75,13.97,52.6,7.67,0.0
25.56,14.29,53.38,6.77,0.0
26.92,14.62,52.05,5.9,0.51
28.21,11.86,52.88,7.05,0.0
25.4,12.7,54.92,6.67,0.32
26.27,10.76,55.7,7.28,0.0
25.45,10.91,55.91,7.73,0.0
30.24,12.71,50.52,6.53,0.0
29.79,12.77,51.6,5.85,0.0
24.69,14.64,53.14,7.11,0.42
25.07,14.44,53.13,6.81,0.54
26.27,15.01,52.01,6.7,0.0
25.46,14.17,53.54,6.82,0.0
25.62,12.95,54.55,6.06,0.83
24.6,18.25,50.0,7.14,0.0
27.33,11.33,54.67,6.33,0.33
26.57,14.69,51.75,6.99,0.0
26.43,12.53,52.04,8.99,0.0
26.78,14.58,51.86,6.78,0.0
27.35,15.25,50.67,6.73,0.0
24.66,13.7,53.88,7.31,0.46
27.66,11.7,53.72,6.38,0.53
27.7,13.18,53.04,6.08,0.0
27.66,13.83,52.48,5.67,0.35
26.58,13.08,52.32,7.17,0.84
26.17,10.98,53.74,8.64,0.47
26.18,11.67,54.89,7.26,0.0
26.4,13.86,52.81,6.93,0.0
25.27,15.38,50.18,9.16,0.0
27.13,13.95,51.94,6.2,0.78
25.0,16.13,50.0,8.47,0.4
25.42,14.69,51.98,7.34,0.56
24.32,15.2,53.5,6.69,0.3
26.62,11.69,53.57,7.79,0.32
28.03,14.19,51.56,5.88,0.35
30.64,14.45,49.71,5.2,0.0
26.22,13.72,51.52,8.54,0.0
26.98,13.08,52.32,7.63,0.0
25.88,12.72,54.39,7.02,0.0
27.91,11.63,52.16,8.31,0.0
28.61,14.17,50.41,6.81,0.0
26.71,14.8,52.35,5.42,0.72
27.86,14.64,48.57,8.93,0.0
25.6,14.33,53.24,6.83,0.0
27.27,13.4,52.15,7.18,0.0
26.74,13.88,52.7,6.68,0.0
25.45,14.55,53.64,6.36,0.0
27.3,12.77,53.55,6.38,0.0
28.28,11.89,53.28,6.56,0.0
25.75,14.52,52.33,7.4,0.0
28.87,13.39,50.63,7.11,0.0
25.51,12.17,54.78,7.25,0.29
26.53,13.27,52.55,7.65,0.0
24.58,17.08,50.83,7.5,0.0
28.21,11.97,52.56,6.84,0.43
24.12,13.62,52.53,9.73,0.0
26.41,14.79,51.76,7.04,0.0
26.76,13.52,53.52,5.92,0.28
25.94,11.47,53.62,8.98,0.0
27.83,12.17,53.04,6.96,0.0
25.73,12.45,54.77,6.64,0.41
28.18,13.18,51.36,7.27,0.0
26.17,11.84,53.58,8.41,0.0
25.0,12.95,53.92,8.13,0.0
25.74,15.61,50.21,7.59,0.84
25.82,14.29,53.57,6.32,0.0
25.51,15.31,51.02,7.65,0.51
25.33,14.67,52.33,7.0,0.67
25.3,14.76,53.31,6.33,0.3
27.54,12.29,53.39,6.78,0.0
28.42,12.67,52.4,6.51,0.0
25.7,15.64,51.4,6.7,0.56
27.42,14.62,51.17,6.53,0.26
28.42,13.68,52.28,5.61,0.0
26.39,12.15,53.82,6.94,0.69
26.09,13.33,51.88,8.7,0.0
26.89,13.58,52.48,7.05,0.0
25.66,13.12,54.23,7.0,0.0
26.17,11.74,54.7,7.38,0.0
25.26,13.16,52.63,8.68,0.26
25.78,13.67,53.91,6.64,0.0
28.45,13.79,51.29,6.47,0.0
28.26,11.23,51.81,8.33,0.36
26.22,14.23,53.56,5.99,0.0
25.96,13.62,54.04,6.38,0.0
25.0,15.35,51.32,8.33,0.0
26.05,12.18,54.62,7.14,0.0
28.93,11.98,52.07,7.02,0.0
24.89,15.88,51.93,7.3,0.0
28.72,12.59,53.15,5.29,0.25
28.47,13.17,51.96,6.41,0.0
24.6,14.52,54.03,6.45,0.4
29.91,13.39,50.0,6.25,0.45
27.48,10.93,54.3,7.28,0.0
27.8,11.66,53.36,7.17,0.0
27.46,12.84,52.84,6.87,0.0
24.45,12.23,55.02,7.86,0.44
27.99,10.06,53.77,8.18,0.0
26.56,15.08,51.8,6.56,0.0
28.62,12.62,51.08,7.69,0.0
25.11,14.1,53.74,7.05,0.0
29.13,13.51,50.45,6.91,0.0
25.43,14.74,52.6,6.36,0.87
26.13,14.19,51.94,7.74,0.0
26.21,14.25,51.0,7.98,0.57
26.34,14.5,51.91,6.87,0.38
27.56,12.99,50.79,8.27,0.39
25.17,13.76,53.02,7.05,1.01
29.27,13.72,50.0,6.71,0.3
30.23,13.29,50.5,5.98,0.0
28.62,12.01,53.36,5.65,0.35
27.24,13.81,52.24,6.72,0.0
25.3,11.58,54.14,8.75,0.24
27.27,12.59,53.5,6.64,0.0
27.83,12.94,52.1,6.8,0.32
25.0,15.62,52.34,7.03,0.0
27.95,10.92,54.15,6.99,0.0
25.19,15.19,52.59,5.93,1.11
26.62,13.67,53.24,6.47,0.0
23.73,15.25,53.39,7.63,0.0
26.08,11.9,54.43,7.59,0.0
27.7,12.4,52.51,6.86,0.53
26.12,16.42,51.12,6.34,0.0
25.77,14.62,52.31,6.54,0.77
26.84,13.42,53.04,6.71,0.0
26.45,13.66,53.2,6.4,0.29
26.38,14.47,53.19,5.96,0.0
25.86,14.83,52.07,6.9,0.34
27.94,12.79,52.48,6.79,0.0
27.17,15.47,50.57,6.79,0.0
26.04,11.72,54.17,7.81,0.26
30.6,14.2,49.53,5.68,0.0
26.73,12.89,53.77,6.29,0.31
26.04,12.15,54.17,6.6,1.04
25.65,14.66,52.09,7.59,0.0
27.75,13.0,52.25,7.0,0.0
26.78,13.9,51.53,7.46,0.34
25.62,15.27,53.2,5.91,0.0
26.43,14.1,51.1,8.37,0.0
28.65,10.81,54.05,5.95,0.54
25.86,13.08,53.58,7.17,0.31
26.64,14.23,51.09,7.3,0.73
26.49,11.01,55.36,7.14,0.0
27.59,12.23,53.29,6.9,0.0
25.57,12.66,53.92,7.34,0.51
24.36,16.67,50.64,7.05,1.28
26.9,12.97,52.85,7.28,0.0
28.49,11.73,53.63,6.15,0.0
26.65,11.29,53.61,8.15,0.31
